"OCCUPANCY_DATE","shelter_location_pair","capacity_actual_sum","capacity_funding_sum","occupied_sum","unoccupied_sum","unavailable_sum","occupancy_rate"
21-01-16,"16 - 1022",50,50,50,0,0,1
21-01-16,"24 - 1150",117,173,117,0,56,1
21-01-16,"24 - 1153",125,125,125,0,0,1
21-01-17,"62 - 1011",55,61,44,11,6,0.8
21-01-17,"3 - 1008",201,208,175,26,7,0.870646766169154
21-01-17,"16 - 1022",50,50,50,0,0,1
21-01-17,"24 - 1150",127,173,126,1,46,0.992125984251969
21-01-17,"24 - 1153",125,125,125,0,0,1
21-01-18,"62 - 1011",55,61,45,10,6,0.818181818181818
21-01-18,"3 - 1008",199,208,176,23,9,0.884422110552764
21-01-18,"16 - 1022",50,50,50,0,0,1
21-01-18,"24 - 1150",173,173,131,42,0,0.757225433526012
21-01-18,"24 - 1153",125,125,125,0,0,1
21-01-19,"62 - 1011",55,61,47,8,6,0.854545454545454
21-01-19,"3 - 1008",199,208,181,18,9,0.909547738693467
21-01-19,"16 - 1022",50,50,50,0,0,1
21-01-19,"24 - 1150",171,173,136,35,2,0.795321637426901
21-01-19,"24 - 1153",125,125,119,6,0,0.952
21-01-20,"62 - 1011",55,61,51,4,6,0.927272727272727
21-01-20,"3 - 1008",199,208,187,12,9,0.939698492462312
21-01-20,"16 - 1022",50,50,49,1,0,0.98
21-01-20,"24 - 1150",170,173,140,30,3,0.823529411764706
21-01-20,"24 - 1153",125,125,122,3,0,0.976
21-01-21,"62 - 1011",54,61,51,3,7,0.944444444444444
21-01-21,"3 - 1008",199,208,188,11,9,0.944723618090452
21-01-21,"16 - 1022",50,50,49,1,0,0.98
21-01-21,"24 - 1150",172,173,143,29,1,0.831395348837209
21-01-21,"24 - 1153",125,125,123,2,0,0.984
21-01-22,"62 - 1011",54,61,53,1,7,0.981481481481482
21-01-22,"3 - 1008",206,208,190,16,2,0.922330097087379
21-01-22,"16 - 1022",50,50,50,0,0,1
21-01-22,"24 - 1150",171,173,145,26,2,0.847953216374269
21-01-22,"24 - 1153",157,157,129,28,0,0.821656050955414
21-01-23,"62 - 1011",54,61,52,2,7,0.962962962962963
21-01-23,"3 - 1008",206,208,191,15,2,0.927184466019418
21-01-23,"16 - 1022",50,50,50,0,0,1
21-01-23,"24 - 1150",172,173,150,22,1,0.872093023255814
21-01-23,"24 - 1153",157,157,153,4,0,0.974522292993631
21-01-24,"62 - 1011",54,61,51,3,7,0.944444444444444
21-01-24,"3 - 1008",206,208,189,17,2,0.91747572815534
21-01-24,"16 - 1022",50,50,50,0,0,1
21-01-24,"24 - 1150",172,173,157,15,1,0.912790697674419
21-01-24,"24 - 1153",157,157,155,2,0,0.987261146496815
21-01-25,"62 - 1011",55,61,53,2,6,0.963636363636364
21-01-25,"3 - 1008",205,208,191,14,3,0.931707317073171
21-01-25,"16 - 1022",50,50,50,0,0,1
21-01-25,"24 - 1150",173,173,164,9,0,0.947976878612717
21-01-25,"24 - 1153",136,157,126,10,21,0.926470588235294
21-01-26,"62 - 1011",55,61,54,1,6,0.981818181818182
21-01-26,"3 - 1008",205,208,189,16,3,0.921951219512195
21-01-26,"16 - 1022",50,50,50,0,0,1
21-01-26,"24 - 1150",172,173,155,17,1,0.901162790697674
21-01-26,"24 - 1153",125,125,125,0,0,1
21-01-27,"62 - 1011",55,61,55,0,6,1
21-01-27,"3 - 1008",205,208,191,14,3,0.931707317073171
21-01-27,"16 - 1022",50,50,49,1,0,0.98
21-01-27,"24 - 1150",154,173,154,0,19,1
21-01-27,"24 - 1153",157,157,144,13,0,0.917197452229299
21-01-28,"62 - 1011",54,61,54,0,7,1
21-01-28,"3 - 1008",206,208,190,16,2,0.922330097087379
21-01-28,"16 - 1022",50,50,46,4,0,0.92
21-01-28,"24 - 1150",148,173,148,0,25,1
21-01-28,"24 - 1153",175,175,154,21,0,0.88
21-01-29,"62 - 1011",55,61,55,0,6,1
21-01-29,"3 - 1008",206,208,193,13,2,0.936893203883495
21-01-29,"16 - 1022",50,50,46,4,0,0.92
21-01-29,"24 - 1150",145,173,145,0,28,1
21-01-29,"24 - 1153",175,175,169,6,0,0.965714285714286
21-01-30,"62 - 1011",57,61,57,0,4,1
21-01-30,"3 - 1008",206,208,188,18,2,0.912621359223301
21-01-30,"16 - 1022",50,50,46,4,0,0.92
21-01-30,"24 - 1150",144,173,144,0,29,1
21-01-30,"24 - 1153",175,175,172,3,0,0.982857142857143
21-01-31,"62 - 1011",56,61,56,0,5,1
21-01-31,"3 - 1008",206,208,186,20,2,0.902912621359223
21-01-31,"16 - 1022",50,50,46,4,0,0.92
21-01-31,"24 - 1150",144,173,144,0,29,1
21-01-31,"24 - 1153",175,175,173,2,0,0.988571428571429
21-02-01,"62 - 1011",54,61,53,1,7,0.981481481481482
21-02-01,"3 - 1008",207,208,184,23,1,0.888888888888889
21-02-01,"16 - 1022",50,50,49,1,0,0.98
21-02-01,"24 - 1150",134,173,134,0,39,1
21-02-01,"24 - 1153",175,175,173,2,0,0.988571428571429
21-02-02,"62 - 1011",55,61,54,1,6,0.981818181818182
21-02-02,"3 - 1008",205,208,166,39,3,0.809756097560976
21-02-02,"16 - 1022",50,50,48,2,0,0.96
21-02-02,"24 - 1150",123,173,123,0,50,1
21-02-02,"24 - 1153",125,125,125,0,0,1
21-02-03,"62 - 1011",55,61,54,1,6,0.981818181818182
21-02-03,"3 - 1008",169,208,164,5,39,0.970414201183432
21-02-03,"16 - 1022",50,50,49,1,0,0.98
21-02-03,"24 - 1150",117,173,117,0,56,1
21-02-03,"24 - 1153",124,125,124,0,1,1
21-02-04,"62 - 1011",55,61,51,4,6,0.927272727272727
21-02-04,"3 - 1008",166,208,162,4,42,0.975903614457831
21-02-04,"16 - 1022",50,50,47,3,0,0.94
21-02-04,"24 - 1150",115,173,115,0,58,1
21-02-04,"24 - 1153",122,125,122,0,3,1
21-02-05,"62 - 1011",55,61,49,6,6,0.890909090909091
21-02-05,"3 - 1008",156,208,155,1,52,0.993589743589744
21-02-05,"16 - 1022",50,50,48,2,0,0.96
21-02-05,"24 - 1150",112,173,112,0,61,1
21-02-05,"24 - 1153",118,125,118,0,7,1
21-02-06,"62 - 1011",54,61,49,5,7,0.907407407407407
21-02-06,"3 - 1008",155,208,152,3,53,0.980645161290323
21-02-06,"16 - 1022",50,50,47,3,0,0.94
21-02-06,"24 - 1150",109,173,109,0,64,1
21-02-06,"24 - 1153",117,125,117,0,8,1
21-02-07,"62 - 1011",54,61,49,5,7,0.907407407407407
21-02-07,"3 - 1008",155,208,154,1,53,0.993548387096774
21-02-07,"16 - 1022",50,50,47,3,0,0.94
21-02-07,"24 - 1150",108,173,107,1,65,0.990740740740741
21-02-07,"24 - 1153",167,175,141,26,8,0.844311377245509
21-02-08,"62 - 1011",54,61,51,3,7,0.944444444444444
21-02-08,"3 - 1008",155,208,155,0,53,1
21-02-08,"16 - 1022",50,50,47,3,0,0.94
21-02-08,"24 - 1150",101,173,101,0,72,1
21-02-08,"24 - 1153",163,175,163,0,12,1
21-02-09,"62 - 1011",54,61,48,6,7,0.888888888888889
21-02-09,"3 - 1008",155,208,154,1,53,0.993548387096774
21-02-09,"16 - 1022",50,50,48,2,0,0.96
21-02-09,"24 - 1150",96,173,96,0,77,1
21-02-09,"24 - 1153",160,175,160,0,15,1
21-02-10,"62 - 1011",54,61,47,7,7,0.87037037037037
21-02-10,"3 - 1008",153,208,149,4,55,0.973856209150327
21-02-10,"16 - 1022",50,50,48,2,0,0.96
21-02-10,"24 - 1150",173,173,122,51,0,0.705202312138728
21-02-10,"24 - 1153",159,175,159,0,16,1
21-02-11,"62 - 1011",54,61,47,7,7,0.87037037037037
21-02-11,"3 - 1008",147,208,145,2,61,0.986394557823129
21-02-11,"16 - 1022",50,50,48,2,0,0.96
21-02-11,"24 - 1150",173,173,132,41,0,0.763005780346821
21-02-11,"24 - 1153",158,175,158,0,17,1
21-02-12,"62 - 1011",54,61,46,8,7,0.851851851851852
21-02-12,"3 - 1008",155,208,154,1,53,0.993548387096774
21-02-12,"16 - 1022",50,50,48,2,0,0.96
21-02-12,"24 - 1150",172,173,134,38,1,0.779069767441861
21-02-12,"24 - 1153",175,175,171,4,0,0.977142857142857
21-02-13,"62 - 1011",54,61,46,8,7,0.851851851851852
21-02-13,"3 - 1008",159,208,159,0,49,1
21-02-13,"16 - 1022",50,50,48,2,0,0.96
21-02-13,"24 - 1150",171,173,135,36,2,0.789473684210526
21-02-13,"24 - 1153",175,175,174,1,0,0.994285714285714
21-02-14,"62 - 1011",54,61,46,8,7,0.851851851851852
21-02-14,"3 - 1008",158,208,158,0,50,1
21-02-14,"16 - 1022",49,50,47,2,1,0.959183673469388
21-02-14,"24 - 1150",172,173,137,35,1,0.796511627906977
21-02-14,"24 - 1153",175,175,172,3,0,0.982857142857143
21-02-15,"62 - 1011",54,61,44,10,7,0.814814814814815
21-02-15,"3 - 1008",162,208,162,0,46,1
21-02-15,"16 - 1022",48,50,47,1,2,0.979166666666667
21-02-15,"24 - 1150",172,173,138,34,1,0.802325581395349
21-02-15,"24 - 1153",175,175,165,10,0,0.942857142857143
21-02-16,"62 - 1011",53,61,44,9,8,0.830188679245283
21-02-16,"3 - 1008",159,208,159,0,49,1
21-02-16,"16 - 1022",46,50,45,1,4,0.978260869565217
21-02-16,"24 - 1150",172,173,148,24,1,0.86046511627907
21-02-16,"24 - 1153",175,175,172,3,0,0.982857142857143
21-02-17,"62 - 1011",54,61,46,8,7,0.851851851851852
21-02-17,"3 - 1008",160,208,160,0,48,1
21-02-17,"16 - 1022",45,50,43,2,5,0.955555555555556
21-02-17,"24 - 1150",171,173,151,20,2,0.883040935672515
21-02-17,"24 - 1153",175,175,175,0,0,1
21-02-18,"62 - 1011",54,61,46,8,7,0.851851851851852
21-02-18,"3 - 1008",160,208,160,0,48,1
21-02-18,"16 - 1022",49,50,48,1,1,0.979591836734694
21-02-18,"24 - 1150",170,173,146,24,3,0.858823529411765
21-02-18,"24 - 1153",174,175,174,0,1,1
21-02-19,"62 - 1011",54,61,51,3,7,0.944444444444444
21-02-19,"3 - 1008",161,208,161,0,47,1
21-02-19,"16 - 1022",49,50,48,1,1,0.979591836734694
21-02-19,"24 - 1150",171,173,151,20,2,0.883040935672515
21-02-19,"24 - 1153",175,175,175,0,0,1
21-02-20,"62 - 1011",54,61,54,0,7,1
21-02-20,"3 - 1008",162,208,162,0,46,1
21-02-20,"16 - 1022",50,50,49,1,0,0.98
21-02-20,"24 - 1150",171,173,150,21,2,0.87719298245614
21-02-20,"24 - 1153",175,175,173,2,0,0.988571428571429
21-02-21,"62 - 1011",54,61,53,1,7,0.981481481481482
21-02-21,"3 - 1008",164,208,164,0,44,1
21-02-21,"16 - 1022",50,50,50,0,0,1
21-02-21,"24 - 1150",171,173,151,20,2,0.883040935672515
21-02-21,"24 - 1153",175,175,172,3,0,0.982857142857143
21-02-22,"62 - 1011",54,61,53,1,7,0.981481481481482
21-02-22,"3 - 1008",165,208,162,3,43,0.981818181818182
21-02-22,"16 - 1022",50,50,48,2,0,0.96
21-02-22,"24 - 1150",171,173,145,26,2,0.847953216374269
21-02-22,"24 - 1153",170,175,170,0,5,1
21-02-23,"62 - 1011",54,61,53,1,7,0.981481481481482
21-02-23,"3 - 1008",164,208,164,0,44,1
21-02-23,"16 - 1022",50,50,50,0,0,1
21-02-23,"24 - 1150",169,173,146,23,4,0.863905325443787
21-02-23,"24 - 1153",157,175,157,0,18,1
21-02-24,"62 - 1011",54,61,53,1,7,0.981481481481482
21-02-24,"3 - 1008",164,208,164,0,44,1
21-02-24,"16 - 1022",50,50,49,1,0,0.98
21-02-24,"24 - 1150",172,173,152,20,1,0.883720930232558
21-02-24,"24 - 1153",140,175,140,0,35,1
21-02-25,"62 - 1011",54,61,54,0,7,1
21-02-25,"3 - 1008",164,208,164,0,44,1
21-02-25,"16 - 1022",50,50,50,0,0,1
21-02-25,"24 - 1150",172,173,153,19,1,0.88953488372093
21-02-25,"24 - 1153",130,175,130,0,45,1
21-02-26,"62 - 1011",54,61,54,0,7,1
21-02-26,"3 - 1008",166,208,166,0,42,1
21-02-26,"16 - 1022",50,50,49,1,0,0.98
21-02-26,"24 - 1150",170,173,155,15,3,0.911764705882353
21-02-26,"24 - 1153",125,125,125,0,0,1
21-02-27,"62 - 1011",52,61,50,2,9,0.961538461538462
21-02-27,"3 - 1008",167,208,167,0,41,1
21-02-27,"16 - 1022",50,50,49,1,0,0.98
21-02-27,"24 - 1150",169,173,157,12,4,0.928994082840237
21-02-27,"24 - 1153",125,125,123,2,0,0.984
21-02-28,"62 - 1011",53,61,51,2,8,0.962264150943396
21-02-28,"3 - 1008",167,208,166,1,41,0.994011976047904
21-02-28,"16 - 1022",50,50,49,1,0,0.98
21-02-28,"24 - 1150",170,173,163,7,3,0.958823529411765
21-02-28,"24 - 1153",125,125,125,0,0,1
21-03-01,"62 - 1011",52,61,50,2,9,0.961538461538462
21-03-01,"3 - 1008",167,208,167,0,41,1
21-03-01,"16 - 1022",49,50,48,1,1,0.979591836734694
21-03-01,"24 - 1150",172,173,163,9,1,0.947674418604651
21-03-01,"24 - 1153",175,175,138,37,0,0.788571428571429
21-03-02,"62 - 1011",54,61,50,4,7,0.925925925925926
21-03-02,"3 - 1008",167,208,166,1,41,0.994011976047904
21-03-02,"16 - 1022",47,50,46,1,3,0.978723404255319
21-03-02,"24 - 1150",173,173,157,16,0,0.907514450867052
21-03-02,"24 - 1153",174,175,155,19,1,0.890804597701149
21-03-03,"62 - 1011",54,61,51,3,7,0.944444444444444
21-03-03,"3 - 1008",165,208,163,2,43,0.987878787878788
21-03-03,"16 - 1022",46,50,45,1,4,0.978260869565217
21-03-03,"24 - 1150",173,173,155,18,0,0.895953757225434
21-03-03,"24 - 1153",174,175,156,18,1,0.896551724137931
21-03-04,"62 - 1011",54,61,50,4,7,0.925925925925926
21-03-04,"3 - 1008",165,208,163,2,43,0.987878787878788
21-03-04,"16 - 1022",46,50,45,1,4,0.978260869565217
21-03-04,"24 - 1150",173,173,155,18,0,0.895953757225434
21-03-04,"24 - 1153",174,175,172,2,1,0.988505747126437
21-03-05,"62 - 1011",54,61,50,4,7,0.925925925925926
21-03-05,"3 - 1008",167,208,164,3,41,0.982035928143713
21-03-05,"16 - 1022",47,50,44,3,3,0.936170212765957
21-03-05,"24 - 1150",173,173,155,18,0,0.895953757225434
21-03-05,"24 - 1153",173,175,173,0,2,1
21-03-06,"62 - 1011",58,61,47,11,3,0.810344827586207
21-03-06,"3 - 1008",167,208,164,3,41,0.982035928143713
21-03-06,"16 - 1022",47,50,44,3,3,0.936170212765957
21-03-06,"24 - 1150",173,173,158,15,0,0.913294797687861
21-03-06,"24 - 1153",169,175,169,0,6,1
21-03-07,"62 - 1011",58,61,47,11,3,0.810344827586207
21-03-07,"3 - 1008",167,208,164,3,41,0.982035928143713
21-03-07,"16 - 1022",46,50,43,3,4,0.934782608695652
21-03-07,"24 - 1150",173,173,157,16,0,0.907514450867052
21-03-07,"24 - 1153",167,175,165,2,8,0.988023952095808
21-03-08,"62 - 1011",59,61,48,11,2,0.813559322033898
21-03-08,"3 - 1008",167,208,164,3,41,0.982035928143713
21-03-08,"16 - 1022",50,50,45,5,0,0.9
21-03-08,"24 - 1150",173,173,162,11,0,0.936416184971098
21-03-08,"24 - 1153",157,175,155,2,18,0.987261146496815
21-03-09,"62 - 1011",60,61,48,12,1,0.8
21-03-09,"3 - 1008",167,208,164,3,41,0.982035928143713
21-03-09,"16 - 1022",50,50,47,3,0,0.94
21-03-09,"24 - 1150",173,173,166,7,0,0.959537572254335
21-03-09,"24 - 1153",131,175,127,4,44,0.969465648854962
21-03-10,"62 - 1011",60,61,51,9,1,0.85
21-03-10,"3 - 1008",167,208,164,3,41,0.982035928143713
21-03-10,"16 - 1022",50,50,48,2,0,0.96
21-03-10,"24 - 1150",173,173,165,8,0,0.953757225433526
21-03-10,"24 - 1153",115,175,115,0,60,1
21-03-11,"62 - 1011",60,61,54,6,1,0.9
21-03-11,"3 - 1008",167,208,163,4,41,0.976047904191617
21-03-11,"16 - 1022",50,50,46,4,0,0.92
21-03-11,"24 - 1150",173,173,164,9,0,0.947976878612717
21-03-11,"24 - 1153",110,175,110,0,65,1
21-03-12,"62 - 1011",60,61,54,6,1,0.9
21-03-12,"3 - 1008",167,208,163,4,41,0.976047904191617
21-03-12,"16 - 1022",50,50,48,2,0,0.96
21-03-12,"24 - 1150",171,173,165,6,2,0.964912280701754
21-03-12,"24 - 1153",146,175,120,26,29,0.821917808219178
21-03-13,"62 - 1011",60,61,56,4,1,0.933333333333333
21-03-13,"3 - 1008",167,208,160,7,41,0.958083832335329
21-03-13,"16 - 1022",50,50,48,2,0,0.96
21-03-13,"24 - 1150",171,173,166,5,2,0.970760233918129
21-03-13,"24 - 1153",145,175,136,9,30,0.937931034482759
21-03-14,"62 - 1011",60,61,55,5,1,0.916666666666667
21-03-14,"3 - 1008",160,208,160,0,48,1
21-03-14,"16 - 1022",50,50,48,2,0,0.96
21-03-14,"24 - 1150",172,173,171,1,1,0.994186046511628
21-03-14,"24 - 1153",128,175,122,6,47,0.953125
21-03-15,"62 - 1011",60,61,54,6,1,0.9
21-03-15,"3 - 1008",160,208,160,0,48,1
21-03-15,"16 - 1022",50,50,50,0,0,1
21-03-15,"24 - 1150",162,173,162,0,11,1
21-03-15,"24 - 1153",126,175,125,1,49,0.992063492063492
21-03-16,"62 - 1011",60,61,56,4,1,0.933333333333333
21-03-16,"3 - 1008",160,208,160,0,48,1
21-03-16,"16 - 1022",50,50,47,3,0,0.94
21-03-16,"24 - 1150",157,173,157,0,16,1
21-03-16,"24 - 1153",114,175,114,0,61,1
21-03-17,"62 - 1011",60,61,58,2,1,0.966666666666667
21-03-17,"3 - 1008",160,208,158,2,48,0.9875
21-03-17,"16 - 1022",50,50,49,1,0,0.98
21-03-17,"24 - 1150",148,173,148,0,25,1
21-03-17,"24 - 1153",98,175,97,1,77,0.989795918367347
21-03-18,"62 - 1011",60,61,58,2,1,0.966666666666667
21-03-18,"3 - 1008",160,208,158,2,48,0.9875
21-03-18,"16 - 1022",50,50,46,4,0,0.92
21-03-18,"24 - 1150",145,173,145,0,28,1
21-03-18,"24 - 1153",84,175,84,0,91,1
21-03-19,"62 - 1011",60,61,59,1,1,0.983333333333333
21-03-19,"3 - 1008",159,208,157,2,49,0.987421383647799
21-03-19,"16 - 1022",50,50,47,3,0,0.94
21-03-19,"24 - 1150",135,173,135,0,38,1
21-03-19,"24 - 1153",77,175,77,0,98,1
21-03-20,"62 - 1011",60,61,59,1,1,0.983333333333333
21-03-20,"3 - 1008",158,208,156,2,50,0.987341772151899
21-03-20,"16 - 1022",50,50,46,4,0,0.92
21-03-20,"24 - 1150",125,173,125,0,48,1
21-03-20,"24 - 1153",75,175,72,3,100,0.96
21-03-21,"62 - 1011",60,61,60,0,1,1
21-03-21,"3 - 1008",158,208,157,1,50,0.993670886075949
21-03-21,"16 - 1022",50,50,46,4,0,0.92
21-03-21,"24 - 1150",121,173,121,0,52,1
21-03-21,"24 - 1153",70,175,70,0,105,1
21-03-22,"62 - 1011",60,61,60,0,1,1
21-03-22,"3 - 1008",157,208,156,1,51,0.993630573248408
21-03-22,"16 - 1022",50,50,46,4,0,0.92
21-03-22,"24 - 1150",115,173,115,0,58,1
21-03-22,"24 - 1153",66,175,66,0,109,1
21-03-23,"62 - 1011",60,61,59,1,1,0.983333333333333
21-03-23,"3 - 1008",156,208,155,1,52,0.993589743589744
21-03-23,"16 - 1022",50,50,46,4,0,0.92
21-03-23,"24 - 1150",110,173,110,0,63,1
21-03-23,"24 - 1153",67,125,67,0,58,1
21-03-24,"62 - 1011",60,61,59,1,1,0.983333333333333
21-03-24,"3 - 1008",157,208,155,2,51,0.987261146496815
21-03-24,"16 - 1022",49,50,47,2,1,0.959183673469388
21-03-24,"24 - 1150",106,173,106,0,67,1
21-03-24,"24 - 1153",76,125,76,0,49,1
21-03-25,"62 - 1011",60,61,58,2,1,0.966666666666667
21-03-25,"3 - 1008",158,208,155,3,50,0.981012658227848
21-03-25,"16 - 1022",49,50,46,3,1,0.938775510204082
21-03-25,"24 - 1150",92,173,92,0,81,1
21-03-25,"24 - 1153",83,175,80,3,92,0.963855421686747
21-03-26,"62 - 1011",60,61,60,0,1,1
21-03-26,"3 - 1008",159,208,156,3,49,0.981132075471698
21-03-26,"16 - 1022",49,50,48,1,1,0.979591836734694
21-03-26,"24 - 1150",89,173,89,0,84,1
21-03-26,"24 - 1153",78,175,78,0,97,1
21-03-27,"62 - 1011",60,61,60,0,1,1
21-03-27,"3 - 1008",159,208,156,3,49,0.981132075471698
21-03-27,"16 - 1022",49,50,49,0,1,1
21-03-27,"24 - 1150",88,173,88,0,85,1
21-03-27,"24 - 1153",87,175,86,1,88,0.988505747126437
21-03-28,"62 - 1011",60,61,59,1,1,0.983333333333333
21-03-28,"3 - 1008",159,208,156,3,49,0.981132075471698
21-03-28,"16 - 1022",49,50,49,0,1,1
21-03-28,"24 - 1150",87,173,87,0,86,1
21-03-28,"24 - 1153",92,175,92,0,83,1
21-03-29,"62 - 1011",60,61,59,1,1,0.983333333333333
21-03-29,"3 - 1008",168,208,165,3,40,0.982142857142857
21-03-29,"16 - 1022",49,50,48,1,1,0.979591836734694
21-03-29,"24 - 1150",87,173,87,0,86,1
21-03-29,"24 - 1153",91,175,91,0,84,1
21-03-30,"62 - 1011",60,61,59,1,1,0.983333333333333
21-03-30,"3 - 1008",171,208,168,3,37,0.982456140350877
21-03-30,"16 - 1022",50,50,47,3,0,0.94
21-03-30,"24 - 1150",85,173,85,0,88,1
21-03-30,"24 - 1153",95,175,95,0,80,1
21-03-31,"62 - 1011",60,61,60,0,1,1
21-03-31,"3 - 1008",174,208,169,5,34,0.971264367816092
21-03-31,"16 - 1022",50,50,49,1,0,0.98
21-03-31,"24 - 1150",81,173,81,0,92,1
21-03-31,"24 - 1153",93,175,92,1,82,0.989247311827957
21-04-01,"62 - 1011",60,61,59,1,1,0.983333333333333
21-04-01,"3 - 1008",180,208,179,1,28,0.994444444444444
21-04-01,"16 - 1022",50,50,48,2,0,0.96
21-04-01,"24 - 1150",80,173,80,0,93,1
21-04-01,"24 - 1153",86,175,86,0,89,1
21-04-02,"62 - 1011",60,61,59,1,1,0.983333333333333
21-04-02,"3 - 1008",184,208,179,5,24,0.972826086956522
21-04-02,"16 - 1022",50,50,48,2,0,0.96
21-04-02,"24 - 1150",80,173,80,0,93,1
21-04-02,"24 - 1153",87,175,87,0,88,1
21-04-03,"62 - 1011",60,61,59,1,1,0.983333333333333
21-04-03,"3 - 1008",187,208,185,2,21,0.989304812834225
21-04-03,"16 - 1022",50,50,47,3,0,0.94
21-04-03,"24 - 1150",80,173,80,0,93,1
21-04-03,"24 - 1153",84,125,84,0,41,1
21-04-04,"62 - 1011",60,61,59,1,1,0.983333333333333
21-04-04,"3 - 1008",186,208,183,3,22,0.983870967741935
21-04-04,"16 - 1022",50,50,48,2,0,0.96
21-04-04,"24 - 1150",84,173,84,0,89,1
21-04-04,"24 - 1153",84,125,84,0,41,1
